               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.013853,            0.027836,           0.0015426,             0.95604,             0.95636,             0.96738,             0.89725,            0.011237,            0.016741,          0.00097164,             0.00307,             0.00307,             0.00307
                  37,            0.013635,            0.027991,           0.0014401,             0.96091,             0.95631,             0.96838,             0.90071,            0.011208,              0.0169,          0.00047666,            0.002872,            0.002872,            0.002872
                  38,            0.013352,            0.026909,           0.0014842,             0.95386,             0.95947,             0.96755,             0.89808,            0.011282,            0.016827,          0.00046254,            0.002674,            0.002674,            0.002674
                  39,            0.012946,            0.026503,           0.0013905,             0.95849,             0.96196,             0.97251,             0.90683,            0.010761,            0.015943,          0.00039977,            0.002476,            0.002476,            0.002476
                  40,            0.013084,             0.02656,           0.0012481,             0.96466,             0.96027,             0.97204,             0.90661,            0.010544,            0.015625,          0.00038102,            0.002278,            0.002278,            0.002278
                  41,            0.012818,            0.026822,            0.001222,             0.95483,             0.96322,             0.96891,             0.90691,            0.010892,            0.016508,          0.00034918,             0.00208,             0.00208,             0.00208
                  42,            0.012421,            0.025907,           0.0011841,             0.95751,             0.96268,             0.96749,             0.90357,            0.010899,            0.016562,          0.00035918,            0.001882,            0.001882,            0.001882
                  43,            0.012433,              0.0255,           0.0010357,             0.95991,             0.96137,             0.96913,              0.9092,            0.010619,             0.01618,          0.00030953,            0.001684,            0.001684,            0.001684
                  44,            0.012161,            0.025428,           0.0009795,             0.96109,             0.96144,             0.97197,             0.91166,            0.010448,            0.015736,          0.00028722,            0.001486,            0.001486,            0.001486
                  45,            0.011961,            0.025061,          0.00092626,             0.96113,             0.96072,             0.97087,             0.90971,            0.010581,            0.015981,          0.00027565,            0.001288,            0.001288,            0.001288
                  46,            0.011961,             0.02496,          0.00091319,             0.97335,              0.9519,             0.97098,             0.91404,            0.010327,            0.015694,          0.00025324,             0.00109,             0.00109,             0.00109
                  47,            0.011816,            0.024869,          0.00086798,             0.97172,             0.94938,             0.97164,              0.9166,            0.010318,            0.015679,          0.00024292,            0.000892,            0.000892,            0.000892
                  48,            0.011615,            0.024148,          0.00090124,             0.96713,             0.95341,             0.97038,             0.91164,            0.010412,            0.016001,          0.00023099,            0.000694,            0.000694,            0.000694
                  49,            0.011676,            0.024599,          0.00085049,             0.96563,             0.95665,             0.97081,              0.9163,            0.010282,            0.015975,          0.00022199,            0.000496,            0.000496,            0.000496
